pathway,pathway_direction,pathway_median_d,pathway_n_reactions,pathway_n_significant,pathway_pct_significant,reaction_id,base_id,reaction_name,cohens_d,p_value,significant,gene_association_raw,genes,n_genes,ec_number
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00001_pos,MAR00001,No name available,-1.5249663664738393,0.04554114038133258,True,Abhd12 or Abhd6 or Gpihbp1 or Lpl or Mgll or Sdc1,Abhd12; Abhd6; Gpihbp1; Lpl; Mgll; Sdc1,6,3.1.1.34;3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00002_pos,MAR00002,triacylglycerol acylhydrolase,-1.4112982415152648,0.05742382212749098,False,Lpl,Lpl,1,3.1.1.34
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00003_pos,MAR00003,"1,2-diacyl-sn-glycerol acylhydrolase",-0.35884065692782,0.5197673762262658,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00005_pos,MAR00005,1-acylglycerol acylhydrolase,-2.9187353344578546,0.002268703998807805,True,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00449_pos,MAR00449,sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase,-0.15169596870367386,0.8608725380680741,False,Gpd2,Gpd2,1,1.1.5.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00604_pos,MAR00604,"ATP:1,2-diacylglycerol 3-phosphotransferase",2.5491365285379484,0.0016069986658221952,True,Dgka or Dgkb or Dgkd or Dgke or Dgkg or Dgkh or Dgki or Dgkk or Dgkq or Dgkz,Dgka; Dgkb; Dgkd; Dgke; Dgkg; Dgkh; Dgki; Dgkk; Dgkq; Dgkz,10,2.7.1.107
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00605_pos,MAR00605,"acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase",-0.978752663171378,0.15296717596056003,False,Dgat1 or Dgat2 or Mogat1 or Mogat2,Dgat1; Dgat2; Mogat1; Mogat2,4,2.3.1.20;2.3.1.22
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00665_pos,MAR00665,triacylglycerol acylhydrolase,-0.978752663171378,0.15296717596056003,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00667_pos,MAR00667,"1,2-diacyl-sn-glycerol acylhydrolase",-0.6632867566455777,0.39819663330744326,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00668_pos,MAR00668,"1,2-diacyl-sn-glycerol acylhydrolase",-1.2761829609095898,0.05742382212749098,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00669_pos,MAR00669,"1,2-diacyl-sn-glycerol acylhydrolase",-1.2920455789596794,0.06965583282873238,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00670_pos,MAR00670,"1,2-diacyl-sn-glycerol acylhydrolase",-1.2991487572491434,0.05742382212749098,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00671_pos,MAR00671,"1,2-diacyl-sn-glycerol acylhydrolase",-1.2707605858642388,0.06965583282873238,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00672_pos,MAR00672,"1,2-diacyl-sn-glycerol acylhydrolase",-1.274061684376687,0.06965583282873238,False,Aadac or Cel or Dagla or Daglb or Lipc or Lipe or Lipf or Lipg or Pnlip or Pnliprp1 or Pnliprp2 or Pnpla2 or Pnpla3,Aadac; Cel; Dagla; Daglb; Lipc; Lipe; Lipf; Lipg; Pnlip; Pnliprp1; Pnliprp2; Pnpla2; Pnpla3,13,3.1.1.3
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00679_pos,MAR00679,1-acylglycerol acylhydrolase,-0.9731509165732879,0.1016320232379835,False,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00680_pos,MAR00680,1-acylglycerol acylhydrolase,-1.4262595630758308,0.03539392365359216,True,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00681_pos,MAR00681,1-acylglycerol acylhydrolase,-1.4284970885067894,0.03539392365359216,True,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00682_pos,MAR00682,1-acylglycerol acylhydrolase,-1.4032801409438067,0.04554114038133258,True,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00683_pos,MAR00683,1-acylglycerol acylhydrolase,-1.414306278734084,0.03539392365359216,True,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR00684_pos,MAR00684,1-acylglycerol acylhydrolase,-1.4114240972007681,0.04554114038133258,True,Abhd12 or Abhd6 or Mgll,Abhd12; Abhd6; Mgll,3,3.1.1.23
Acylglycerides metabolism,CD5 lo,-1.2761829609095898,21,8,38.095238095238095,MAR07588_pos,MAR07588,Acyl-CoA:glycerone-phosphate O-acyltransferase,-0.9502981086582319,0.1016320232379835,False,Gnpat,Gnpat,1,2.3.1.42
